singer_name,photo_url,singer_styles,date,n_songs
As Danadinhas,https://www.vagalume.com.br/as-danadinhas/images/as-danadinhas.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-01-01,12
MC Rael Souza,https://www.vagalume.com.br/mc-rael-souza/images/mc-rael-souza.jpg,"['Funk Carioca', 'Hip Hop', 'Rap']",2016-09-01,12
DJ Thiago,https://www.vagalume.com.br/dj-thiago/images/dj-thiago.jpg,"['Funk Carioca', 'Electronica', 'Funk']",2004-11-01,12
Os Avassaladores,https://www.vagalume.com.br/os-avassaladores/images/os-avassaladores.jpg,"['Funk Carioca', 'Funk', 'Sertanejo']",2010-06-01,11
MC Babi,https://www.vagalume.com.br/mc-babi/images/mc-babi.jpg,"['Funk Carioca', 'Dance', 'Hip Hop']",2007-02-01,11
Mc Vitinho,https://www.vagalume.com.br/mc-vitinho/images/mc-vitinho.jpg,"['Funk Carioca', 'Axé', 'Sertanejo']",2006-10-01,11
Mc Diguinho,https://www.vagalume.com.br/mc-diguinho/images/mc-diguinho.jpg,"['Funk Carioca', 'Axé', 'Sertanejo']",2011-05-01,11
Mulher Gato,https://www.vagalume.com.br/mulher-gato/images/mulher-gato.jpg,['Funk Carioca'],2009-02-01,11
Mulher Melancia,https://www.vagalume.com.br/mulher-melancia/images/mulher-melancia.jpg,"['Funk Carioca', 'Electronica', 'Dance']",2008-05-01,11
Mc Keke,https://www.vagalume.com.br/mc-keke/images/mc-keke.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2008-05-01,11
Mc Godô,https://www.vagalume.com.br/mc-godo/images/mc-godo.jpg,"['Funk Carioca', 'Funk', 'Axé']",2008-05-01,11
Valesca Popozuda,https://www.vagalume.com.br/valesca-popozuda/images/valesca-popozuda.jpg,"['Funk Carioca', 'Funk', 'Pop']",2014-01-01,11
Formiga DJ,https://www.vagalume.com.br/formiga-dj/images/formiga-dj.jpg,"['Funk Carioca', 'Electronica', 'Rap']",2014-12-01,10
Mc Lany,https://www.vagalume.com.br/mc-lany/images/mc-lany.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2008-02-01,10
Mc Yuri BH,https://www.vagalume.com.br/mc-yuri-bh/images/mc-yuri-bh.jpg,"['Funk Carioca', 'Funk', 'Hip Hop']",2009-08-01,10
Mc Dodô,https://www.vagalume.com.br/mc-dodo/images/mc-dodo.jpg,"['Funk Carioca', 'Rap', 'Electronica']",2007-11-01,10
Mc Nobruh,https://www.vagalume.com.br/mc-nobruh-equipamento-da-oakley-2/images/mc-nobruh-equipamento-da-oakley-2.jpg,"['Funk Carioca', 'Funk', 'Romântico']",2010-06-01,10
Bonde Dos Perversos,https://www.vagalume.com.br/bonde-dos-perversos/images/bonde-dos-perversos.jpg,['Funk Carioca'],2006-08-01,10
Mc Suzy,https://www.vagalume.com.br/mc-suzy/images/mc-suzy.jpg,"['Funk Carioca', 'Axé', 'Pagode']",2008-06-01,10
Deize Tigrona,https://www.vagalume.com.br/deize-tigrona/images/deize-tigrona.jpg,['Funk Carioca'],2005-12-01,9
"Mc Arthur, o Sheik",https://www.vagalume.com.br/mc-arthur-o-sheik/images/mc-arthur-o-sheik.jpg,['Funk Carioca'],2015-11-01,9
Mc BNN,https://www.vagalume.com.br/mc-bnn/images/mc-bnn.jpg,['Funk Carioca'],2018-02-01,9
Mc Zoi de Gato,https://www.vagalume.com.br/mc-zoi-de-gato/images/mc-zoi-de-gato.jpg,"['Funk Carioca', 'Pagode', 'Hip Hop']",2008-12-01,9
Mc Copinho,https://www.vagalume.com.br/mc-copinho/images/mc-copinho.jpg,"['Funk Carioca', 'Clássico', 'Rap']",2008-04-01,9
Mc Hudson 22,https://www.vagalume.com.br/mc-hudson-22/images/mc-hudson-22.jpg,"['Funk Carioca', 'Axé', 'Funk']",2011-04-01,9
MC Rihanna da Baixada,https://www.vagalume.com.br/mc-rihanna-da-baixada/images/mc-rihanna-da-baixada.jpg,"['Pop', 'Funk Carioca', 'Pop/Punk']",2015-10-01,9
Justiceiras do Funk,https://www.vagalume.com.br/justiceiras-do-funk/images/justiceiras-do-funk.jpg,['Funk Carioca'],2012-02-01,9
Mc Vine,https://www.vagalume.com.br/mc-vine/images/mc-vine.jpg,"['Funk Carioca', 'Rap', 'Funk']",2008-08-01,9
Os Bad Boys (Funk),https://www.vagalume.com.br/os-bad-boys-funk/images/os-bad-boys-funk.jpg,['Funk Carioca'],2014-11-01,9
Verônica Costa,https://www.vagalume.com.br/veronica-costa/images/veronica-costa.jpg,['Funk Carioca'],2005-02-01,8
Mc Robinho de Prata,https://www.vagalume.com.br/mc-robinho-de-prata/images/mc-robinho-de-prata.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2007-03-01,8
Negão do Arizona,https://www.vagalume.com.br/negao-do-arizona/images/negao-do-arizona.jpg,['Funk Carioca'],2017-02-01,8
Gepê MC,https://www.vagalume.com.br/gepe-mc/images/gepe-mc.jpg,['Funk Carioca'],2013-06-01,8
Chiquinho e Amaral,https://www.vagalume.com.br/chiquinho-e-amaral/images/chiquinho-e-amaral.jpg,"['Funk Carioca', 'Funk']",2008-09-01,8
MC's Vinicius e Andinho,https://www.vagalume.com.br/vinicius-e-andinho/images/vinicius-e-andinho.jpg,"['Funk Carioca', 'Romântico', 'Funk']",2004-07-01,8
Mc Bolado do Recife,https://www.vagalume.com.br/mc-bolado-do-recife/images/mc-bolado-do-recife.jpg,['Funk Carioca'],2018-05-01,8
McViktor,https://www.vagalume.com.br/mcviktor/images/mcviktor.jpg,['Funk Carioca'],2014-10-01,8
MC Japa e MC Japinha,https://www.vagalume.com.br/mc-japa-e-mc-japinha/images/mc-japa-e-mc-japinha.jpg,['Funk Carioca'],2017-11-01,7
Mc Joãozinho VT,https://www.vagalume.com.br/mc-joaozinho-vt/images/mc-joaozinho-vt.jpg,['Funk Carioca'],2009-03-01,7
Mc Jenny,https://www.vagalume.com.br/mc-jenny/images/mc-jenny.jpg,"['Funk Carioca', 'Axé', 'Punk Rock']",2009-04-01,7
Sharon (Axé Moi),https://www.vagalume.com.br/sharon-axe-moi/images/sharon-axe-moi.jpg,"['Funk Carioca', 'Axé', 'Funk']",2008-04-01,7
Os Polêmicos,https://www.vagalume.com.br/grupo-os-polemicos/images/grupo-os-polemicos.jpg,"['Funk Carioca', 'Funk']",2013-01-01,7
Jhowzinho e Kadinho,https://www.vagalume.com.br/jhowzinho-e-kadinho/images/jhowzinho-e-kadinho.jpg,['Funk Carioca'],2017-09-01,7
